USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
GA,13021012600,6820591,37119,2.633,0.014,32.8050318,-83.6711251
GA,13021012700,1927365,0,0.744,0,32.8102528,-83.650433
GA,13021012800,2069062,0,0.799,0,32.7977216,-83.6533026
GA,13021012900,2060809,0,0.796,0,32.787321,-83.6574695
GA,13021013101,8493363,27677,3.279,0.011,32.781574,-83.7040885
GA,13021013102,5089477,4236,1.965,0.002,32.7941834,-83.6900122
GA,13021013201,11219236,159163,4.332,0.061,32.8287995,-83.7188326
GA,13021013202,4699591,17723,1.815,0.007,32.8067378,-83.7033874
GA,13021013302,31057342,157096,11.991,0.061,32.8311998,-83.5255288
GA,13021013407,7914472,17650,3.056,0.007,32.9023451,-83.7077654
GA,13021013408,8967621,22003,3.462,0.008,32.9061383,-83.7280424
GA,13021013409,12614489,573968,4.87,0.222,32.8782886,-83.7920096
GA,13021013410,25574136,241058,9.874,0.093,32.8833081,-83.7479733
GA,13021013411,17953825,380236,6.932,0.147,32.9279788,-83.723857
GA,13021013502,56678509,804279,21.884,0.311,32.7068119,-83.6315448
GA,13021013503,14017155,52122,5.412,0.02,32.7533685,-83.6991202
GA,13021013504,35045178,259851,13.531,0.1,32.7236718,-83.6983483
GA,13021013603,45330603,145826,17.502,0.056,32.7607529,-83.7301667
GA,13021013604,67473755,375925,26.052,0.145,32.7730825,-83.7972428
GA,13021013605,19797846,336707,7.644,0.13,32.8720834,-83.8098329
GA,13021013606,73085535,6969827,28.218,2.691,32.8310216,-83.8204855
GA,13021013700,3131838,31659,1.209,0.012,32.833841,-83.6359378
GA,13021013800,4402577,241485,1.7,0.093,32.8434805,-83.6107791
GA,13021013900,95856894,2443304,37.011,0.943,32.7865797,-83.5967893
GA,13023790100,323282902,4454021,124.82,1.72,32.4779818,-83.2776466
GA,13023790200,152309386,2277436,58.807,0.879,32.4145058,-83.4211217
GA,13023790300,83507921,1715886,32.243,0.663,32.3425439,-83.3542424
GA,13025960100,292764266,2755829,113.037,1.064,31.2461659,-81.8176402
GA,13025960200,499101538,5841998,192.704,2.256,31.2018604,-81.9674237
GA,13025960300,353842654,3942581,136.619,1.522,31.1517425,-82.1368405
GA,13027960200,258036697,3106734,99.629,1.2,30.950909,-83.6820015
GA,13027960300,350487596,4451522,135.324,1.719,30.9403089,-83.5068032
GA,13027960400,134387109,2124578,51.887,0.82,30.8423203,-83.5478189
GA,13027960500,106886086,347926,41.269,0.134,30.7769129,-83.5298134
GA,13027960600,427308025,2160745,164.985,0.834,30.7215211,-83.6035539
GA,13029920101,127937091,2151644,49.397,0.831,32.1800181,-81.4767191
GA,13029920102,233601105,1352085,90.194,0.522,32.1375467,-81.5944344
GA,13029920301,66175281,1561165,25.55,0.603,31.8986194,-81.356358
GA,13029920303,9166620,86455,3.539,0.033,31.9388404,-81.3219733
GA,13029920305,23571158,2756264,9.101,1.064,31.9329402,-81.283957
GA,13029920306,231835842,33896452,89.512,13.087,31.8395718,-81.2437383
GA,13029980000,437895592,5048756,169.072,1.949,32.02637,-81.4940823
GA,13031110100,279184979,6773174,107.794,2.615,32.5649759,-81.8950448
GA,13031110200,105428824,3269281,40.706,1.262,32.5178585,-81.770269
GA,13031110300,165334387,5525078,63.836,2.133,32.4416475,-81.8622567
GA,13031110401,9507998,129124,3.671,0.05,32.4295225,-81.802825
GA,13031110403,4525243,300690,1.747,0.116,32.4042313,-81.7718203
GA,13031110404,6031263,36136,2.329,0.014,32.4122799,-81.786895
GA,13031110500,9410085,243652,3.633,0.094,32.4269675,-81.7675809
GA,13031110601,89305266,1834245,34.481,0.708,32.4462823,-81.6681873
GA,13031110602,135991255,4279387,52.507,1.652,32.4968689,-81.6486527
GA,13031110700,286606002,3465144,110.659,1.338,32.3582117,-81.6801739
GA,13031110800,177678295,9146940,68.602,3.532,32.3232254,-81.8699061
GA,13031110900,474098269,5426832,183.05,2.095,32.2609864,-81.6187257
GA,13033950100,405633251,4813021,156.616,1.858,33.1902344,-81.9112789
GA,13033950200,238639728,1557405,92.139,0.601,33.2038865,-82.1753519
GA,13033950400,227025772,1372809,87.655,0.53,33.0807356,-82.1003726
GA,13033950500,371183712,2229098,143.315,0.861,33.0126673,-81.9713799
GA,13033950700,426834301,5242044,164.802,2.024,33.0303641,-81.7296155
GA,13033950900,472676775,5386808,182.502,2.08,32.9603348,-82.2051273
GA,13035150100,223911981,8109790,86.453,3.131,33.3109009,-83.8852911
GA,13035150200,98573497,666998,38.059,0.258,33.2903551,-83.9582206
GA,13035150300,153274385,2487778,59.18,0.961,33.2592725,-84.0482745
GA,13037950100,480713108,7154133,185.604,2.762,31.5256326,-84.5590576
GA,13037950200,245434146,1161586,94.763,0.448,31.5233783,-84.7476835
GA,13039010100,657713710,68284114,253.945,26.365,31.0360668,-81.7224784
GA,13039010200,341860473,54975088,131.993,21.226,30.920059,-81.6150875
GA,13039010301,71175393,3800024,27.481,1.467,30.7874657,-81.7301808
GA,13039010302,221621479,15427486,85.569,5.957,30.8559341,-81.7434461
GA,13039010401,29442995,542135,11.368,0.209,30.791346,-81.6278245
GA,13039010402,37483492,4491808,14.472,1.734,30.829058,-81.6181503
GA,13039010403,32424081,3572501,12.519,1.379,30.7520496,-81.6367679
GA,13039010500,60651582,16269452,23.418,6.282,30.8022951,-81.5276234
GA,13039010601,21222920,3835344,8.194,1.481,30.7426066,-81.5554207
GA,13039010602,114219763,58807740,44.1,22.706,30.8432127,-81.4561463
GA,13039990000,0,207164929,0,79.987,30.8508364,-81.3878489
GA,13043950100,223193277,5531019,86.175,2.136,32.476669,-82.0804938
GA,13043950200,241164567,5385926,93.114,2.08,32.3532656,-82.1254242
GA,13043950300,165150893,4113424,63.765,1.588,32.3767922,-81.985587
GA,13045910101,16517025,56418,6.377,0.022,33.7295921,-84.9218971
GA,13045910103,55558011,752911,21.451,0.291,33.6914721,-84.9611659
GA,13045910104,44323698,710896,17.113,0.274,33.7584056,-84.949716
GA,13045910200,118663094,1596608,45.816,0.616,33.7247878,-85.0328062
GA,13045910300,147044292,867094,56.774,0.335,33.6425612,-85.1809983
GA,13045910400,111452666,215716,43.032,0.083,33.5875294,-85.2703774
GA,13045910501,29838224,0,11.521,0,33.5892617,-85.1192725
GA,13045910502,4243388,150387,1.638,0.058,33.5854378,-85.0894038
GA,13045910600,32614140,0,12.592,0,33.6281783,-85.0670961
GA,13045910701,65014368,477230,25.102,0.184,33.5725958,-84.9995241
GA,13045910702,60123643,1279517,23.214,0.494,33.6190569,-84.9446961
GA,13045910703,34782261,1053656,13.43,0.407,33.6292267,-85.0034028
GA,13045910800,170809933,1764033,65.95,0.681,33.5198017,-84.918098
GA,13045910900,129999197,1945613,50.193,0.751,33.4592669,-85.1017683
GA,13045911000,50714889,580872,19.581,0.224,33.5261021,-85.0387864
GA,13045911100,51735951,559337,19.975,0.216,33.5317904,-85.1095169
GA,13045911200,169041075,291138,65.267,0.112,33.5000142,-85.2304748
GA,13047030100,145114539,44712,56.029,0.017,34.907073,-85.0612959
GA,13047030201,13809160,0,5.332,0,34.9289706,-85.1389382
GA,13047030202,36849442,399195,14.228,0.154,34.9571841,-85.1201935
GA,13047030301,18797310,0,7.258,0,34.9050808,-85.1511678
GA,13047030303,25391763,0,9.804,0,34.8616278,-85.1652073
GA,13047030304,52716481,0,20.354,0,34.8200885,-85.1587599
GA,13047030401,59741778,87041,23.066,0.034,34.8839644,-85.2139976
GA,13047030402,21637099,207637,8.354,0.08,34.9703365,-85.1757893
GA,13047030500,9506445,0,3.67,0,34.9714644,-85.2215049
GA,13047030600,6544769,32573,2.527,0.013,34.9738035,-85.2461887
GA,13047030700,29890482,0,11.541,0,34.9285875,-85.2426317
GA,13049010100,1225612813,14753706,473.212,5.696,30.9267248,-82.176774
GA,13049010200,778089859,7922494,300.422,3.059,30.5779012,-82.1042465
GA,13051000100,1159882,90171,0.448,0.035,32.0823335,-81.103942
GA,13051000300,1152274,159094,0.445,0.061,32.0783398,-81.0903299
GA,13051000601,3560885,87,1.375,0,32.0796728,-81.1166491
GA,13051000900,265330,0,0.102,0,32.0717555,-81.0917023
