Code,Area (Square meters),Latitude,Longitude
36061015001,51643,40.7801987,-73.9592834
36061015002,125571,40.7824499,-73.9576478
36061015100,639067,40.7753625,-73.9921014
36061015200,718532,40.7776648,-73.9398735
36061015300,174116,40.7748578,-73.9806658
36061015400,177371,40.7813494,-73.9491245
36061015500,412044,40.7798937,-73.9935495
36061015601,73566,40.7835686,-73.9475024
36061015602,108755,40.7851821,-73.9463253
36061015700,182396,40.7774175,-73.9787896
36061015801,125754,40.7842784,-73.9521037
36061015802,51510,40.7865243,-73.950465
36061015900,285897,40.7806226,-73.9874341
36061016001,125615,40.7856349,-73.9553223
36061016002,51424,40.7878788,-73.9536853
36061016100,155741,40.7799492,-73.9771934
36061016200,1104574,40.788038,-73.9405522
36061016300,616612,40.7849584,-73.9898263
36061016400,177390,40.7877141,-73.9444745
36061016500,204317,40.7823577,-73.9749987
36061016600,174218,40.7893731,-73.9483928
36061016700,338435,40.7861484,-73.9838791
36061016800,199278,40.7910751,-73.9513565
36061016900,180002,40.7851959,-73.9731196
36061017000,182916,40.7909025,-73.9421468
36061017100,411885,40.7890396,-73.9823769
36061017200,177939,40.793827,-73.9451333
36061017300,178602,40.7877705,-73.9712361
36061017401,100812,40.7948875,-73.948576
36061017402,50730,40.7968026,-73.9471624
36061017500,409089,40.7915227,-73.9798883
36061017700,174561,40.7903083,-73.9693891
36061017800,458660,40.7935107,-73.9326073
36061017900,404952,40.7944258,-73.9789459
36061018000,212522,40.7944017,-73.939595
36061018100,138455,40.7925562,-73.967746
36061018200,176899,40.7983211,-73.9418511
36061018300,412210,40.7967863,-73.9769266
36061018400,176580,40.7996841,-73.9450687
36061018500,130383,40.7945001,-73.9663636
36061018600,121738,40.799106,-73.9497088
36061018700,402574,40.7998766,-73.9747148
36061018800,148532,40.7975948,-73.9372599
36061018900,265399,40.7973281,-73.9642508
36061019000,103802,40.8019616,-73.9476194
36061019100,399130,40.8015611,-73.9722959
36061019200,365499,40.7987751,-73.9294062
36061019300,175716,40.8005051,-73.9619564
36061019400,175052,40.8004651,-73.935186
36061019500,384737,40.804003,-73.9705048
36061019600,177186,40.8028054,-73.9385762
36061019701,235976,40.805311,-73.9593993
36061019702,47396,40.802189,-73.9579879
36061019800,225452,40.8043025,-73.9423627
36061019900,418646,40.806543,-73.9687765
36061020000,129287,40.8057859,-73.9452336
36061020101,55127,40.8064355,-73.9602048
36061020102,83350,40.8050511,-73.9566329
36061020300,178223,40.808669,-73.9615617
36061020500,655661,40.8123923,-73.9701397
36061020600,148748,40.8082917,-73.9387853
36061020701,47273,40.8089775,-73.95846
36061020800,148566,40.8096485,-73.942008
36061020901,115805,40.8115578,-73.9550032
36061021000,320003,40.813496,-73.9351482
36061021100,655944,40.8159057,-73.9631154
36061021200,176416,40.8137612,-73.939001
36061021303,153292,40.8145587,-73.9531391
36061021400,135562,40.8177876,-73.9362052
36061021500,69710,40.8135272,-73.9494713
36061021600,173198,40.8006768,-73.954388
36061021703,313864,40.8179349,-73.9497563
36061021800,181869,40.8032221,-73.9525241
36061021900,471191,40.8185701,-73.9603228
36061022000,174955,40.8057836,-73.950657
36061022102,99000,40.8186544,-73.9461862
36061022200,181422,40.8083402,-73.9487876
36061022301,318057,40.8221683,-73.9578271
36061022302,156993,40.8224346,-73.9623302
36061022400,194687,40.8111222,-73.9469598
36061022500,398615,40.8250966,-73.9571997
36061022600,152979,40.8134305,-73.9448116
36061022700,150703,40.8229662,-73.9464621
36061022800,180634,40.8159297,-73.9432453
36061022900,342499,40.8270084,-73.9554483
36061023000,173684,40.8184725,-73.9413896
36061023100,182674,40.8258302,-73.9440935
36061023200,180486,40.8210132,-73.9395315
36061023300,517934,40.8311599,-73.9569644
36061023400,108235,40.8237305,-73.9386702
36061023501,179045,40.8289967,-73.9418352
36061023502,41338,40.8278881,-73.9389277
36061023600,391137,40.8242944,-73.9356565
36061023700,545532,40.8343381,-73.9551977
36061023801,871126,40.7551477,-73.9530042
36061023802,557068,40.7686335,-73.9404954
36061023900,63850,40.8323375,-73.9410642
36061024000,2976940,40.7910329,-73.9200395
36061024100,386111,40.8370145,-73.9539618
36061024200,483278,40.8058563,-73.9335113
36061024301,105194,40.8359721,-73.9387601
36061024302,326516,40.8316801,-73.9374382
36061024500,212070,40.8366264,-73.942098
36061024700,656655,40.8406031,-73.9526748
36061024900,60659,40.8391286,-73.9364494
36061025100,159422,40.840326,-73.9399227
36061025300,169349,40.8428949,-73.9383791
36061025500,1028142,40.8464959,-73.9502862
36061025700,144063,40.8084355,-73.9540741
36061025900,75469,40.8232145,-73.9423562
36061026100,156222,40.8457845,-73.9344552
36061026300,157201,40.8468226,-73.9374753
36061026500,195037,40.8496217,-73.9401308
36061026700,47338,40.8503283,-73.9286454
36061026900,175570,40.8505568,-73.9309745
36061027100,192909,40.8519438,-73.934294
36061027300,176946,40.853979,-73.9373847
36061027500,1132598,40.856358,-73.9451999
36061027700,163262,40.8554404,-73.9273892
36061027900,180014,40.8558577,-73.9316272
36061028100,94227,40.8570577,-73.9345343
36061028300,151093,40.8589101,-73.9287249
36061028500,121942,40.8615008,-73.9280489
36061028700,1551183,40.8666798,-73.9385861
36061029100,187479,40.864311,-73.9239339
36061029300,157076,40.8659258,-73.92012
36061029500,135565,40.8675232,-73.9249404
36061029700,1954449,40.8717465,-73.9247883
36061029900,938971,40.8665217,-73.9152652
36061030300,156650,40.8692197,-73.918653
36061030700,84374,40.8712704,-73.9166749
36061030900,302752,40.8758478,-73.9103731
36061031100,1043510,40.8467498,-73.9296801
36061031703,720571,40.7161754,-74.0203297
36061031704,698007,40.7084035,-74.0218869
36061031900,417565,40.7023011,-74.0204555
