USPS,GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                                             
WA,53011040810,2212067,28886,0.854,0.011,45.6825626,-122.6436105
WA,53011040904,4220981,0,1.63,0,45.7028825,-122.6682987
WA,53011040905,26254488,117067,10.137,0.045,45.7534052,-122.7001427
WA,53011040907,5454832,371676,2.106,0.144,45.7143605,-122.7153747
WA,53011040908,4384810,0,1.693,0,45.7037379,-122.6921501
WA,53011040909,4218361,0,1.629,0,45.7167147,-122.6749544
WA,53011040910,6958158,0,2.687,0,45.7336316,-122.6709023
WA,53011041003,3396685,70154,1.311,0.027,45.6622596,-122.6814208
WA,53011041005,36623087,21967052,14.14,8.482,45.686038,-122.7398063
WA,53011041007,1934809,0,0.747,0,45.6736564,-122.6748388
WA,53011041008,2564820,0,0.99,0,45.6866557,-122.6905229
WA,53011041009,2436544,4944,0.941,0.002,45.6862962,-122.6702876
WA,53011041010,3577020,0,1.381,0,45.6722381,-122.6504034
WA,53011041011,3937924,0,1.52,0,45.6580555,-122.6489455
WA,53011041104,1907451,0,0.736,0,45.6692934,-122.5736274
WA,53011041105,4604521,0,1.778,0,45.6705344,-122.6177315
WA,53011041107,2031927,0,0.785,0,45.6714148,-122.5911988
WA,53011041108,3199795,0,1.235,0,45.6571872,-122.5884604
WA,53011041110,3087797,11892,1.192,0.005,45.6547166,-122.6262557
WA,53011041111,747520,0,0.289,0,45.6456264,-122.608894
WA,53011041112,2280650,0,0.881,0,45.6559176,-122.6076154
WA,53011041201,4107951,408274,1.586,0.158,45.6087262,-122.5642452
WA,53011041203,3906367,0,1.508,0,45.6458379,-122.5818044
WA,53011041205,2466933,0,0.952,0,45.6322587,-122.5877567
WA,53011041206,3104270,0,1.199,0,45.6307864,-122.5689258
WA,53011041309,3049427,54670,1.177,0.021,45.6060986,-122.5442198
WA,53011041310,3535536,572854,1.365,0.221,45.5970739,-122.5155923
WA,53011041312,2795047,0,1.079,0,45.6634143,-122.5441662
WA,53011041313,1740747,0,0.672,0,45.6544403,-122.5632352
WA,53011041317,2939796,0,1.135,0,45.6322157,-122.5524531
WA,53011041318,3462621,7161,1.337,0.003,45.63202,-122.5371638
WA,53011041319,3253052,0,1.256,0,45.6352312,-122.5177639
WA,53011041320,2225841,0,0.859,0,45.6216076,-122.5125594
WA,53011041321,4097556,0,1.582,0,45.6290579,-122.4888805
WA,53011041322,2098261,0,0.81,0,45.6155173,-122.5405729
WA,53011041323,2076878,0,0.802,0,45.6112782,-122.5149151
WA,53011041325,4758377,986255,1.837,0.381,45.5885856,-122.4799189
WA,53011041326,3482817,0,1.345,0,45.664489,-122.5185965
WA,53011041327,7286352,0,2.813,0,45.6495567,-122.492233
WA,53011041328,5485526,0,2.118,0,45.601075,-122.4749338
WA,53011041329,3192375,0,1.233,0,45.6134323,-122.4888803
WA,53011041330,1847272,0,0.713,0,45.6502513,-122.5389285
WA,53011041331,1458502,0,0.563,0,45.6495871,-122.5520613
WA,53011041332,1570729,0,0.606,0,45.6466368,-122.5184158
WA,53011041333,1462338,0,0.565,0,45.6535585,-122.5199274
WA,53011041400,8646984,4450082,3.339,1.718,45.5796068,-122.4326851
WA,53011041500,3601956,1196994,1.391,0.462,45.583427,-122.3896813
WA,53011041600,2693534,0,1.04,0,45.6385848,-122.6182829
WA,53011041700,1133324,0,0.438,0,45.6411339,-122.639812
WA,53011041800,1443600,0,0.557,0,45.6452114,-122.6536158
WA,53011041900,1176296,0,0.454,0,45.6467352,-122.6663486
WA,53011042000,698028,0,0.27,0,45.6522499,-122.6757531
WA,53011042100,1316511,0,0.508,0,45.6452076,-122.6798981
WA,53011042300,1208082,0,0.466,0,45.6357131,-122.6791221
WA,53011042400,1027073,450591,0.397,0.174,45.6246604,-122.6803105
